UWI,tbguid,lifetime_start,FAILURETYPE,GrossStrokeLength,Fillage,YesterdaysAverageSPM,bha_configuration,gas_anchor_length,MAX_INCLINATION,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_LIQUID_VOLUME,AVG_WATERSG,ROUTE,FAILED,lifetime_duration_days,WaterRatio,chemgroup1_score,chemgroup2_score
642-04-9474,GB21BPUI84158215691289,2019-07-09 12:00:00,NOFAIL,116.344611183207,96.0,5.0,TAC_BELOW_NIP,17.17,1.96,53.84661,135.619085,259.438885,223.109764,1.04,874.0,0.0,281.23,0.3489725891153736,0.5,0.0
437-65-5756,GB71YOAW72287441427985,2018-03-08 00:00:00,Sucker Rod Pump,117.234449803829,76.0999984741211,5.09999990463256,PACKER_DONNAN,20.72,3.24,57.106383,67.925469,81.578257,47.164341,1.04,885.0,1.0,444.42,0.4403411891199751,0.5,0.0
588-71-7614,GB73UAOR62079913821800,2018-05-23 07:59:00,NOFAIL,118.875995993614,83.1565246582031,6.0,TAC_BELOW_NIP,17.51,5.59,71.775551,78.327545,94.052545,91.068361,1.050735,882.0,0.0,693.4,0.2752140339936501,0.5,0.0
289-93-3304,GB88SBZI07613861425006,2017-03-17 02:01:00,Tubing,143.686615618537,79.139289855957,6.40000009536743,TAC_BELOW_NIP,17.11,3.64,49.382966,60.860042,63.677185,153.410788,1.04,872.0,1.0,231.54,0.4563723901867971,0.5,0.0
807-26-3648,GB25CKTO32555448899572,2015-05-13 00:00:00,Tubing,143.53125112639123,99.3840942382812,5.40000009536743,PACKER_DONNAN,20.78,10.81,10.665714,117.23825,270.382469,298.690625,1.04,901.0,1.0,299.0,0.4814555194023917,0.0,1.0
853-24-9157,GB13WZEC39943190837275,2017-02-07 10:22:00,Tubing,118.766590224372,94.3347854614257,4.90000009536743,PACKER_TAC_DONNAN,17.14,3.03,55.9794128,52.9806202,72.0615026,91.882353,1.04,871.0,1.0,127.88,0.4527048627063349,0.5,0.0
872-04-6865,GB70CPVD10008060965907,2016-07-20 00:00:00,Tubing,121.61730182927461,78.1545486450195,4.90000009536743,TAC_ABOVE_NIP,19.26,2.26,35.045316,76.219886,68.327462,55.620451,1.04,875.0,1.0,555.4,0.3486741594382253,0.5,0.0
835-67-5215,GB56NXCW75612114376195,2014-09-05 00:00:00,Tubing,127.74116633147678,59.6730766296386,5.913333320617673,TAC_BELOW_NIP,19.25,1.64,64.52828459999999,67.625175,155.8119,76.098384,1.04,874.0,1.0,438.44,0.1920522911498357,0.0,1.0
582-07-6485,GB81JZFM82535917452044,2013-09-05 00:00:00,Tubing,133.46224945968638,86.02156524658201,5.935384654998776,PACKER_TAC_DONNAN,20.13,2.3,52.0170442,37.642228,32.39901,159.026139,1.04,902.0,1.0,201.0,0.2116075961575096,0.0,0.0
542-76-0741,GB66GAZX85076552004692,2007-01-19 00:00:00,Sucker Rod Pump,126.43916376584684,54.024614715576135,5.380000019073482,PACKER_TAC_DONNAN,20.9,1.6,41.8696144,0.0,0.0,76.480278,1.104,867.0,1.0,445.0,0.1043890556987776,0.0,0.0
471-75-6445,GB76VYSI87172000416794,2015-05-12 00:00:00,Tubing,126.94799357268857,80.2952346801757,5.639999961853023,TAC_ABOVE_NIP,17.23,5.2,77.796011,84.84472,272.732919,211.391304,1.04,874.0,1.0,154.19,0.1549920662772391,0.0,0.5
588-71-7614,GB62EEZX71149442945090,2016-08-12 00:00:00,Tubing,115.58982858969068,97.7692337036132,4.40000009536743,TAC_BELOW_NIP,19.27,5.59,44.549624,36.731399,92.733591,6.230415,1.04,882.0,1.0,214.21,0.7847632942588897,0.5,0.0
331-34-0937,GB34EJGI39852077008325,2017-04-03 02:30:00,Tubing,114.680409592438,71.5534744262695,4.59999990463256,TAC_BELOW_NIP,19.26,5.25,64.644487,75.098634,82.079516,106.904684,1.04,882.0,1.0,977.27,0.2473657842719033,0.5,0.0
500-66-4618,GB15KERQ44791354563349,2017-04-14 18:00:00,Tubing,143.498485683387,88.4739151000976,5.80000019073486,TAC_BELOW_NIP,17.18,1.52,58.176987,78.65717,95.675472,87.365924,1.04,875.0,1.0,468.79,0.2796518010843678,0.5,0.0
254-30-5629,GB37EJAC94802809915855,2017-09-29 14:30:00,NOFAIL,78.8390110294993,0.0,7.30000019073486,TAC_BELOW_NIP,17.09,0.55,61.872795,110.252372,95.121457,215.710265,1.2,882.0,0.0,297.92,0.2374485933712983,0.0,0.0
101-41-1583,GB47IJXM38782758207953,2017-12-16 11:00:00,Tubing,130.390019958669,92.6999969482421,6.09999990463256,PACKER_DONNAN,2.95,2.37,49.737266,93.063237,37.854893,174.138467,1.04,905.0,1.0,403.09,0.6249459115773657,0.5,0.0
115-49-9901,GB72FPCF62541821842423,2018-06-17 03:00:00,Tubing,127.951918029785,96.3000030517578,5.69999980926513,TAC_BELOW_NIP,17.19,5.63,66.76187,104.460343,152.709705,245.278386,1.04,905.0,1.0,448.46,0.407764624641651,0.5,0.0
336-88-0341,GB93AUJI12631677974680,2015-05-08 09:57:00,Sucker Rod Pump,135.20669332485122,85.0444412231445,6.90000009536743,TAC_ABOVE_NIP,19.21,1.99,72.381167,90.145681,112.252933,166.526559,1.04,882.0,1.0,408.59,0.2263334523113517,0.0,0.5
363-06-6891,GB46RAQW42364614419628,2019-04-23 12:16:00,NOFAIL,131.524625959343,99.0,6.19999980926513,TAC_BELOW_NIP,17.17,2.55,68.005858,82.540476,69.957772,145.834512,1.19,901.0,0.0,358.22,0.6469189748445828,1.0,0.0
439-76-9265,GB50ACPE69365421558546,2017-06-13 00:00:00,NOFAIL,128.939527432985,96.6478271484375,5.0,TAC_BELOW_NIP,17.1,1.55,56.95549,125.905915,88.376852,62.317074,1.04,871.0,0.0,1037.73,0.4409909714310399,0.5,0.0
361-61-3346,GB34IFCU60806235303785,2017-04-25 12:00:00,Tubing,122.446587802202,75.1999969482421,5.69999980926513,TAC_BELOW_NIP,19.19,1.97,26.310918,28.269641,175.792245,119.704327,1.04,884.0,1.0,391.9,0.2713215621687593,0.5,0.0
641-71-5464,GB06YMSG62958102437147,2018-12-04 15:00:00,Tubing,102.610239664713,19.7000007629394,6.80000019073486,TAC_BELOW_NIP,19.97,2.1,33.36,84.296341,72.659942,57.763059,1.2,883.0,1.0,342.0,0.4170465937408197,0.5,0.0
290-23-9957,GB85FTTK81868731432303,2015-05-28 10:00:00,Tubing,118.67023705345294,87.2999954223632,5.484545612335202,UNKNOWN,0.0,2.58,65.5982688,81.377622,82.91958,101.062937,1.04,881.0,1.0,274.09,0.1967547707425126,0.0,0.5
267-13-4580,GB56LAIZ63631857648265,2011-01-06 00:00:00,Sucker Rod Pump,120.53965283370152,71.34698867797849,5.420000076293942,PACKER_DONNAN,20.74,3.1,50.860636400000004,53.024404,113.090708,54.97395,1.1548570000000002,883.0,1.0,846.0,0.189885573075975,0.0,0.0
110-03-2169,GB61UTLJ62972923137493,2019-10-23 10:00:00,NOFAIL,137.73,89.0,5.0,PACKER_TAC_DONNAN,17.23,6.33,54.271214,60.100175,87.06157,112.472486,1.19,872.0,0.0,170.17,0.5346299182895272,0.0,0.0
219-24-3610,GB30SYAL08632812190214,2020-02-27 03:30:00,NOFAIL,120.791666666666,97.0,5.0,TAC_BELOW_NIP,17.13,1.15,52.589,55.549667,65.990667,148.024167,1.04,875.0,0.0,48.59,0.3793963792412356,0.0,0.0
860-30-2347,GB48MENL23904187095262,2015-01-27 00:00:00,NOFAIL,110.409418181635,95.9417877197265,6.40000009536743,TAC_ABOVE_NIP,19.27,1.97,64.664807,77.687299,60.48435,113.159465,1.04,900.0,0.0,1905.73,0.5555191428308714,1.0,1.0
684-10-6689,GB23GGFR50498437688413,2017-03-14 20:00:00,NOFAIL,124.257615450769,52.0,5.80000019073486,TAC_BELOW_NIP,17.12,1.97,54.089919,95.218825,115.512369,83.564434,1.04,875.0,0.0,1127.9,0.4045175965650649,0.5,0.0
545-98-9607,GB44UXRA06604694929708,2019-08-14 14:00:00,NOFAIL,112.502573628328,56.0,3.20000004768371,TAC_ABOVE_NIP,19.3,1.5,28.661038,30.972976,26.824775,20.010554,1.2,867.0,0.0,245.15,0.1722049774334084,0.0,0.0
164-17-5284,GB42NRYP01326173094782,2015-03-22 00:00:00,Tubing,145.24492891168,84.8629608154296,5.59999990463256,TAC_ABOVE_NIP,17.12,2.9,62.771875,83.053002,138.424856,164.722222,1.04,885.0,1.0,469.99,0.2640059942853369,0.5,0.5
869-64-7299,GB34JZVC46230234738440,2017-04-26 11:49:00,Tubing,133.050032063984,76.204345703125,5.0,TAC_BELOW_NIP,17.15,2.19,58.98247,68.986304,73.528391,124.148855,1.04,872.0,1.0,255.15,0.4506410067172992,0.5,0.0
465-52-2523,GB27GLUJ96003099286089,2018-10-18 15:30:00,NOFAIL,116.021082415805,72.5999984741211,6.5,PACKER_DONNAN,20.69,7.3,62.469841,63.829065,92.718149,75.343392,1.04,885.0,0.0,545.09,0.3086220620383006,0.5,0.0
783-54-0077,GB38QWCY57407930527894,2019-01-18 15:00:00,NOFAIL,102.445274300396,69.3000030517578,5.0,TAC_BELOW_NIP,17.1,1.08,63.733498,70.516253,75.347186,60.028244,1.04,884.0,0.0,453.11,0.126079483517792,0.5,0.0
314-38-0971,GB53YIEV45848483459357,2020-02-16 03:00:00,Sucker Rod Pump,69.56,0.0,6.0,TAC_BELOW_NIP,19.24,3.8,55.1706,59.0998,85.972093,83.368,1.2,882.0,1.0,59.61,0.641529123884464,0.0,0.0
076-79-4878,GB07ENVU23572056728495,2018-11-30 13:00:00,NOFAIL,97.3146162766676,0.0,6.30000019073486,TAC_BELOW_NIP,19.61,1.58,63.876894,76.788809,103.27406,157.848445,1.04,881.0,0.0,230.75,0.3007586549237149,0.5,0.0
707-62-1895,GB12ELFN65832898884161,2014-07-16 12:00:00,Sucker Rod Pump,124.38437747645226,81.1559982299804,5.76999998092651,TAC_ABOVE_NIP,19.26,3.9,59.55242880000001,78.290139,122.251136,101.338703,1.04,873.0,1.0,911.5,0.2784835227267513,0.5,1.0
772-78-1957,GB44UQYR24780968860200,2017-02-20 02:00:00,Rods,139.218214102496,96.3571472167968,6.40000009536743,TAC_ABOVE_NIP,17.1,10.41,73.44894,115.802396,94.162375,240.392931,1.04,904.0,1.0,470.43,0.5024345121030201,0.5,0.0
889-63-9827,GB41KSDU08288366441092,2017-01-26 21:45:00,Tubing,156.738703338193,86.2642822265625,5.40000009536743,TAC_BELOW_NIP,17.15,0.0,56.490724,78.618469,68.960993,130.464052,1.04,872.0,1.0,151.53,0.5530284081625795,0.5,0.0
656-82-6108,GB28QJSH49903856776477,2017-01-24 04:00:00,Sucker Rod Pump,133.247900906731,91.8000030517578,4.80000019073486,TAC_ABOVE_NIP,19.26,1.93,57.6110002,73.6348298,76.807097,50.808118,1.04,905.0,1.0,260.29,0.1859975407866908,0.5,0.0
681-68-7806,GB04WTVT23953694757587,2017-10-19 18:00:00,Tubing,124.67068821590915,72.98737335205078,5.340000057220458,TAC_BELOW_NIP,17.13,9.06,68.286351,131.353586,790.403091,325.439462,1.04,883.0,1.0,222.75,0.2928223990242461,0.0,0.0
195-69-0643,GB07HDJL28055005301340,2014-03-20 00:00:00,Sucker Rod Pump,112.36602894303128,49.92000007629393,2.2171428680419902,TAC_ABOVE_NIP,19.38,1.6,19.774225800000004,10.102857,25.970206,24.022143,1.072,884.0,1.0,97.0,0.2859479272935807,0.0,0.0
135-43-8288,GB03QGGK89409334717138,2015-02-20 00:00:00,NOFAIL,120.48770515080705,98.0153884887695,5.479999923706051,UNKNOWN,0.0,1.78,50.68897019999999,70.06962,120.338608,109.974684,1.04,902.0,0.0,305.25,0.2267207605706782,0.0,0.0
545-51-5597,GB72UDQD13430503023408,2007-07-16 00:00:00,Sucker Rod Pump,118.16763009455663,71.8601593017578,4.6,TAC_ABOVE_NIP,0.0,14.6,23.223654000000003,0.0,0.0,45.507287,1.1360000000000001,867.0,1.0,247.0,0.0492742843580194,0.0,0.0
706-84-6010,GB45WUSN37824261440222,2015-08-17 00:00:00,Tubing,145.7983576004378,83.0035705566406,5.19999980926513,TAC_ABOVE_NIP,0.0,2.59,72.518279,74.249147,185.023912,225.023529,1.04,874.0,1.0,298.28,0.2441051931062729,0.0,0.0
123-08-5173,GB98IYPV61187205398228,2015-10-09 00:00:00,Tubing,146.261226726945,80.5999984741211,4.30000019073486,TAC_ABOVE_NIP,19.28,1.4,64.419769,69.380493,79.131816,50.28745,1.2,881.0,1.0,1197.65,0.177874260874234,0.5,0.5
010-76-9878,GB97HLHY37714145337185,2015-03-15 00:00:00,Sucker Rod Pump,138.17803117857937,93.64253387451168,5.219999885559075,TAC_ABOVE_NIP,0.0,6.03,60.53829239999999,92.833333,151.431818,165.628788,1.0651785999999999,885.0,1.0,131.04,0.1953528815292665,0.0,0.5
478-46-9452,GB03LRWQ13348260149816,2017-05-03 20:15:00,NOFAIL,83.3828829013235,82.5681838989257,5.0,TAC_ABOVE_NIP,19.25,1.37,58.17931,73.306108,85.518227,118.162162,1.04,883.0,0.0,371.51,0.2236130716701002,0.5,0.0
508-52-5837,GB87IJSQ99989923948224,2007-04-05 00:00:00,Sucker Rod Pump,135.38612768097738,80.13954467773434,6.16000003814697,PACKER_TAC_DONNAN,20.96,3.07,51.32477179999999,0.0,0.0,118.849128,1.072,867.0,1.0,671.0,0.0218195037998091,0.0,0.0
455-59-1219,GB80PYDQ24243086688068,2016-11-25 12:00:00,Tubing,125.08543917338,95.713638305664,5.12307691574096,TAC_BELOW_NIP,17.11,2.96,60.078497,71.165408,191.12,125.255,1.04,886.0,1.0,189.92,0.2909265099197636,0.0,0.0
514-69-0180,GB34WAXN22087261961137,2020-02-02 13:00:00,NOFAIL,191.610169491525,89.0,7.0,TAC_BELOW_NIP,17.1,34.96,40.619696,79.133522,40.252488,134.984652,1.04,905.0,0.0,73.19,0.5391295671155265,0.0,0.0
354-39-2775,GB46RESA46358744009796,2016-01-12 00:00:00,NOFAIL,142.902730776229,80.1999969482421,5.5,TAC_ABOVE_NIP,0.0,1.83,53.78853,88.924635,62.532367,63.675496,1.04,875.0,0.0,1555.73,0.1757203744435693,0.5,0.5
859-66-6410,GB92CFTN71144396348625,2014-04-14 00:00:00,Tubing,108.23187760389976,71.10643463134762,5.32461538314819,TAC_ABOVE_NIP,19.28,3.5,53.3422378,50.341852,121.933939,117.542939,1.04,871.0,1.0,296.0,0.338047970707964,0.0,0.0
608-06-9958,GB71MZPN45322315228843,2006-08-15 00:00:00,Sucker Rod Pump,126.69802275851939,77.4626266479492,4.4488815307617156,PACKER_TAC_DONNAN,20.9,2.68,44.722217,33.104213,34.58887,63.003381,1.2,867.0,1.0,2577.0,0.1107260100850778,0.0,0.0
154-19-4786,GB34WSDF67976137332999,2017-07-22 10:00:00,Rods,108.868566207555,95.9333343505859,6.19999980926513,TAC_BELOW_NIP,17.16,3.5,43.90117,69.6525,64.835892,157.173585,1.04,901.0,1.0,242.58,0.3205205124003502,0.5,0.0
860-23-4519,GB45SJJL17190671404755,2013-09-18 00:00:00,Tubing,161.462766380127,94.64482269287109,5.6669411659240705,PACKER_DONNAN,20.7,2.27,67.4998382,81.498426,166.56537,282.623406,1.04,872.0,1.0,323.29,0.6697807258044297,0.0,0.0
511-39-0778,GB03JYXI48003693592735,2017-03-25 08:00:00,Tubing,111.663121863397,75.557144165039,5.69999980926513,PACKER_DONNAN,20.71,2.4,62.37041,67.759132,65.842375,58.635076,1.04,886.0,1.0,710.23,0.4311118143685871,0.0,0.0
767-46-3279,GB50EILK47641624830908,2014-06-19 00:00:00,Tubing,131.0423321844948,84.12684631347653,5.799999904632564,UNKNOWN,0.0,2.02,57.55474620000001,73.583486,163.62844,102.363405,1.04,871.0,1.0,326.0,0.2499997533298154,0.0,0.5
521-32-8090,GB48PTTQ02651636186242,2016-06-29 00:00:00,Rods,131.673094036198,89.1185150146484,5.69999980926513,TAC_BELOW_NIP,17.14,17.61,88.913251,124.093829,174.090938,179.188082,1.04,883.0,1.0,533.34,0.2537516641313231,0.5,0.0
663-12-3455,GB87FGQL77604986346317,2015-03-31 08:08:00,Sucker Rod Pump,96.7666040632459,86.4384613037109,6.30000019073486,TAC_ABOVE_NIP,17.24,3.88,78.123027,94.022586,107.327249,149.141279,1.04,902.0,1.0,1297.1,0.2954221748359822,1.0,1.0
101-41-1583,GB30VYDH97128119312016,2019-01-25 17:00:00,NOFAIL,121.012436445369,93.1999969482421,6.09999990463256,PACKER_DONNAN,2.94,2.37,49.08057,76.663389,54.585359,118.730833,1.04,905.0,0.0,446.03,0.4936740652699707,0.0,0.0
202-17-9699,GB02HICF49507909321148,2015-07-29 03:00:00,NOFAIL,90.22292366423848,0.0,3.89555559158325,PACKER_DONNAN,20.69,5.84,37.784495400000004,12.461538,32.032967,11.824176,1.04,874.0,0.0,86.88,0.4526021940133503,0.0,0.5
437-65-5756,GB15ZECW97265571442358,2012-11-21 00:00:00,Sucker Rod Pump,126.3273512708834,85.18676910400384,5.5439999580383255,PACKER_DONNAN,20.74,3.24,52.29107059999999,100.184541,117.100128,124.756939,1.104,885.0,1.0,391.0,0.2342458963344716,0.0,0.0
292-26-5777,GB79CONQ73000359863704,2011-05-06 00:00:00,NOFAIL,130.446315436141,60.40198049545286,5.539999961853022,UNKNOWN,40.0,1.6,58.394468399999994,67.733758,79.229627,103.074765,1.072,884.0,0.0,321.0,0.2055409682476598,0.0,0.0
717-45-3996,GB88TWVQ46911440272114,2010-06-22 00:00:00,Sucker Rod Pump,147.860452920689,71.01658782958982,6.039999961853022,PACKER_DONNAN,20.73,3.0,58.4729414,62.606383,87.429078,49.503929,1.196,885.0,1.0,281.0,0.1073279658267124,0.0,0.0
296-22-0635,GB77IFFO42728931789587,2019-08-07 08:00:00,Tubing,147.674501487186,99.8000030517578,6.30000019073486,TAC_ABOVE_NIP,17.1,1.54,68.083118,133.207356,62.336692,237.897782,1.04,904.0,1.0,243.08,0.5853899470151428,0.0,0.0
444-33-0650,GB40MUYT84317434319328,2013-10-30 09:45:00,Tubing,114.15429943758836,93.11119079589841,5.770909023284906,PACKER_DONNAN,20.74,1.37,59.5027214,73.907268,105.05561,129.268218,1.04,874.0,1.0,204.59,0.123779690379889,0.0,0.0
336-88-0341,GB64OKMA10845362017210,2017-06-12 07:00:00,Tubing,121.677373250325,78.7909088134765,5.30000019073486,TAC_BELOW_NIP,17.05,1.99,64.731069,74.797799,106.783679,158.128527,1.04,882.0,1.0,296.17,0.4113355650242666,0.5,0.0
610-57-8742,GB12GIXN28795120336823,2020-02-21 11:00:00,NOFAIL,129.592592592592,88.0,6.0,UNKNOWN,20.292,2.37,56.616182,98.774561,101.525357,142.954912,1.1,872.0,0.0,54.28,0.3667614513308923,0.0,0.0
424-25-8441,GB50XYUS81348115745718,2014-09-23 00:00:00,Tubing,139.39370497468798,90.5529403686523,3.29999995231628,TAC_ABOVE_NIP,19.3,4.68,7.829524,91.971498,123.855189,109.544144,1.04,886.0,1.0,545.29,0.2271987081299389,0.0,0.5
887-29-8974,GB53ERYL99671380770567,2019-07-01 15:30:00,Rods,148.005154280229,0.100000001490116,6.0,TAC_BELOW_NIP,17.15,14.37,62.630406,70.798141,70.220149,72.138493,1.04,883.0,1.0,263.69,0.2124696866068438,0.5,0.0
432-62-5341,GB36CMAK74201958672682,2007-06-28 00:00:00,Sucker Rod Pump,138.9179260382214,96.14300079345702,5.180000019073484,PACKER_TAC_DONNAN,20.85,2.38,53.3051472,142.747748,87.927928,153.062368,1.1340000000000001,881.0,1.0,116.0,0.0904346194356538,0.0,0.0
240-36-2352,GB74BPRS46804396757287,2020-01-05 12:00:00,NOFAIL,106.37,93.0,6.0,TAC_BELOW_NIP,0.0,5.98,49.40729,73.16,107.118056,82.889083,1.04,886.0,0.0,101.23,0.3113157736345087,0.0,0.0
303-98-9395,GB48NUMZ39506570734027,2012-07-02 00:00:00,Tubing,142.4871871202914,96.57181854248047,6.259999942779536,PACKER_DONNAN,20.0,1.58,70.93475799999999,111.970664,58.24418,281.847578,1.1019999999999999,904.0,1.0,255.0,0.3428620699376739,0.0,0.0
277-67-0857,GB77IHUE56268532403539,2020-02-17 10:00:00,NOFAIL,126.403508771929,88.0,6.0,TAC_BELOW_NIP,17.13,7.59,62.194776,91.367576,127.229254,180.454118,1.04,886.0,0.0,58.32,0.2416134776154014,0.0,0.0
786-98-0737,GB34UVHK07835800530905,2017-10-10 11:00:00,NOFAIL,143.604413974839,75.1999969482421,6.19999980926513,TAC_ABOVE_NIP,17.15,2.15,67.323871,79.724554,71.386109,76.773718,1.04,886.0,0.0,918.28,0.1352333880716835,0.0,0.0
100-18-9193,GB68UXJK78960802143740,2015-06-18 00:00:00,Tubing,113.30113720550301,55.9653854370117,5.69999980926513,PACKER_DONNAN,20.73,1.52,63.319478399999994,79.472527,82.397174,64.80083,1.04,874.0,1.0,647.5,0.158160983431848,0.0,0.5
